指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,2001-01-19,2077.080000,2065.610000,2007.710000,2131.980000,18268581100.000000,173601235500.000000,-0.003796
sh000001,2001-02-28,2069.860000,1959.180000,1893.780000,2072.550000,12476042800.000000,111833940500.000000,-0.051525
sh000001,2001-03-30,1959.010000,2112.780000,1953.720000,2112.880000,35147553900.000000,268765880800.000000,0.078400
sh000001,2001-04-30,2117.450000,2119.180000,2081.640000,2179.740000,44604395200.000000,316384683800.000000,0.003029
sh000001,2001-05-31,2119.900000,2214.260000,2119.890000,2222.650000,33231866000.000000,267104102700.000000,0.044866
sh000001,2001-06-29,2216.560000,2218.030000,2157.120000,2245.440000,26650150100.000000,295116385200.000000,0.001703
sh000001,2001-07-31,2220.420000,1920.320000,1909.300000,2223.210000,17102661100.000000,184898423400.000000,-0.134223
sh000001,2001-08-31,1925.240000,1834.140000,1795.570000,1990.700000,14651293200.000000,158476330400.000000,-0.044878
sh000001,2001-09-28,1831.700000,1764.870000,1750.760000,1888.900000,9119956500.000000,107708031100.000000,-0.037767
sh000001,2001-10-31,1766.130000,1689.170000,1514.860000,1773.800000,10946834700.000000,123266691600.000000,-0.042893
sh000001,2001-11-30,1692.350000,1747.990000,1550.470000,1748.000000,12382374200.000000,134491793000.000000,0.034822
sh000001,2001-12-31,1751.050000,1645.970000,1593.030000,1776.020000,12050541800.000000,129290688100.000000,-0.058364
sh000001,2002-01-31,1643.490000,1491.670000,1339.200000,1643.500000,14417055000.000000,126625561000.000000,-0.093744
sh000001,2002-02-28,1494.580000,1524.700000,1476.130000,1544.920000,8478395400.000000,79130965100.000000,0.022143
sh000001,2002-03-29,1521.530000,1603.910000,1494.830000,1693.870000,27311636200.000000,277837093200.000000,0.051951
sh000001,2002-04-30,1598.030000,1667.750000,1575.970000,1680.300000,17506393900.000000,178867273900.000000,0.039803
sh000001,2002-05-31,1669.870000,1515.730000,1506.540000,1670.920000,10519480600.000000,107534864700.000000,-0.091153
sh000001,2002-06-28,1510.250000,1732.760000,1455.310000,1748.890000,24825421100.000000,236079791600.000000,0.143185
sh000001,2002-07-31,1736.290000,1651.590000,1647.270000,1741.920000,20203691400.000000,198574321600.000000,-0.046844
sh000001,2002-08-30,1650.050000,1666.620000,1624.050000,1696.280000,10780960500.000000,111259667500.000000,0.009100
sh000001,2002-09-27,1666.340000,1581.620000,1577.530000,1680.280000,7946446400.000000,83352571800.000000,-0.051001
sh000001,2002-10-31,1577.050000,1507.500000,1488.680000,1577.050000,9468854100.000000,72661447000.000000,-0.046863
sh000001,2002-11-29,1507.380000,1434.180000,1353.140000,1573.100000,14055072000.000000,117396338500.000000,-0.048637
sh000001,2002-12-31,1432.030000,1357.650000,1348.710000,1439.850000,12640132700.000000,106381206700.000000,-0.053362
